[START OF SIMULATION]
0x00000024:	l8 r3,[r2+0]             	R3=MEM[0x00000243]=0x21
0x00000028:	cmpi r3,0                	SR=0x00000002
0x0000002C:	beq 3                    	PC=0x00000030
0x00000030:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x21
0x00000034:	addi r2,r2,1             	R2=R2+0x00000001=0x00000244,SR=0x00000002
0x00000038:	bun -6                   	PC=0x00000024
0x00000024:	l8 r3,[r2+0]             	R3=MEM[0x00000244]=0x0A
0x00000028:	cmpi r3,0                	SR=0x00000002
0x0000002C:	beq 3                    	PC=0x00000030
0x00000030:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x0A
0x00000034:	addi r2,r2,1             	R2=R2+0x00000001=0x00000245,SR=0x00000002
0x00000038:	bun -6                   	PC=0x00000024
0x00000024:	l8 r3,[r2+0]             	R3=MEM[0x00000245]=0x00
0x00000028:	cmpi r3,0                	SR=0x00000042
0x0000002C:	beq 3                    	PC=0x0000003C
0x0000003C:	pop r31, r3, r2, r1      	{R31,R3,R2,R1}=MEM[0x00007FD0]{0x00000002,0x00000000,0x00000230,0x8888888B}
0x00000040:	ret                      	PC=MEM[0x00007FE4]=0x00000058
0x00000058:	pop r31, r2, r1          	{R31,R2,R1}=MEM[0x00007FE4]{0x00000002,0x00000000,0x00000000}
0x0000005C:	reti                     	IPC=MEM[0x00007FF4]=0x00000000,CR=MEM[0x00007FF8]=0x00000000,PC=MEM[0x00007FFC]=0x000001A8
0x000001A8:	cbr r31[1]               	R31=0x00000000
0x000001AC:	div r0,r0,r0,r0          	R0=R0%R0=0x00000000,R0=R0/R0=0x00000000,SR=0x00000020
0x000001B0:	sbr r31[1]               	R31=0x00000022
0x000001B4:	divi r0,r1,0             	R0=R1/0x00000000=0x00000000,SR=0x00000022
[SOFTWARE INTERRUPTION]
0x00000008:	bun 21                   	PC=0x00000060
0x00000060:	cbr r31[5]               	R31=0x00000002
0x00000064:	push r1,r2,r31           	MEM[0x00007FF0]{0x00000000,0x00000000,0x00000002}={R1,R2,R31}
0x00000068:	l32 r1,[r0+139]          	R1=MEM[0x0000022C]=0x8888888B
0x0000006C:	mov r2,584               	R2=0x00000248
0x00000070:	call -21                 	PC=0x00000020,MEM[0x00007FE4]=0x00000074
